sku,work_center
106020752,25000001
106020753,25000001
106020754,25000001
106020755,25000001
106020756,25000001
106020757,25000001
106020758,25000001
106020759,25000001
106020760,25000001
106020761,25000001
106020762,25000001
106020763,25000001
106020764,25000001
106020765,25000001
106020767,25000001
106020768,25000001
106020769,25000001
106020770,25000001
106020771,25000001
106020772,25000001
106020773,25000001
106020774,25000001
106020775,25000001
106020776,25000001
106020777,25000001
106020778,25000001
106020779,25000001
106020780,25000001
106020781,25000001
106020782,25000001
106020783,25000001
106020784,25000001
106020785,25000001
106020786,25000001
106020787,25000001
106020788,25000001
106020789,25000001
106020790,25000001
106020791,25000002
106020792,25000001
106020793,25000002
106020794,25000002
106020795,25000002
106020796,25000002
106020797,25000002
106020798,25000002
106020799,25000002
106020800,25000002
106020801,25000002
106020802,25000001
106020803,25000001
106020804,25000002
106020805,25000001
106020806,25000002
106020807,25000002
106020808,25000001
106020809,25000001
106020810,25000001
106020811,25000001
106020812,25000001
106020813,25000001
106020814,25000001
106020815,25000001
106020816,25000001
106020817,25000002
106020818,25000002
106020819,25000002
106020820,25000002
106020821,25000001
106020822,25000001
106020823,25000001
106020824,25000001
106020825,25000001
106020826,25000001
106020827,25000002
106020828,25000002
106020829,25000002
106020830,25000002
106020831,25000001
106020832,25000001
106020833,25000001
106020834,25000001
106020835,25000001
106020836,25000001
106020837,25000001
106020838,25000001
106020839,25000001
106020840,25000001
106020841,25000001
106020842,25000001
106020843,25000001
106020844,25000001
106020845,25000001
106020846,25000001
106020847,25000001
106020848,25000001
106020849,25000001
106020850,25000001
106020851,25000001
106020852,25000001
106020853,25000001
106020854,25000001
106020855,25000001
106020856,25000001
106020857,25000001
106020858,25000001
106020859,25000001
106020860,25000001
106020861,25000001
106020862,25000001
106020863,25000001
106020864,25000001
106020865,25000001
106020866,25000001
106020867,25000001
106020868,25000001
106020869,25000001
106020870,25000001
106020871,25000001
106020872,25000001
106020873,25000001
106020874,25000001
106020875,25000001
106020876,25000001
106020877,25000001
106020878,25000001
106020879,25000001
106020880,25000001
106020881,25000001
106020882,25000001
106020883,25000001
106020884,25000001
106020885,25000001
106020886,25000001
106020887,25000001
106020888,25000001
106020889,25000001
106020890,25000001
106020891,25000001
106020892,25000001
106020893,25000001
106020894,25000001
106020895,25000001
106020896,25000001
106020897,25000001
106020898,25000001
106020899,25000001
106020900,25000001
106020901,25000001
106020902,25000001
106020903,25000001
106020904,25000001
106020905,25000001
106020906,25000001
106020907,25000001
106020908,25000001
106020909,25000001
106020910,25000001
106020911,25000001
106020912,25000001
106020913,25000001
106020914,25000001
106020915,25000001
106020916,25000001
106020917,25000001
106020918,25000001
106020919,25000001
106020920,25000001
106020921,25000001
106020922,25000001
106020923,25000001
106020924,25000001
106020925,25000001
106020926,25000001
106020927,25000001
106020928,25000001
106020929,25000001
106020930,25000001
106020931,25000001
106020932,25000001
106020933,25000001
106020934,25000001
