,calendar_day,year,month,global_steel_utilization,fed_construction$B,state_local_construction$B,carbon_bar_ship_usa,carbon_bar_ship_canada,structural_ship_usa,structural_ship_canada,ism_manufacturing,ism_non_manufacturing,chicago_scrap$ST,block,IN_tons,PR_ton,SO_order_qty_sales_units,SH_shipment_tons
96,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,"1"" FLT",8.594000000000001,0.0,2.652,0.0
97,2016-02-29,2016,2,0.66,1840.0,17198.0,205400.0,31000.0,187000.0,37500.0,49.5,53.4,180.0,PR 3/8,10.002,0.0,2.0,0.0
98,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"10"" CHN",25867.26312262,2415.0,782.7894999999999,888.0
99,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,PR 3/8,27.005000259,0.0,0.0,14.0
100,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"1/2"" SQR",40.535000325,0.0,0.0,15.0
101,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"9"" CHN",2608.3920084429997,0.0,65.88,75.0
102,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"4"" FLT",61.964999606000006,0.0,39.891,18.0
103,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"6"" ANG",9717.883015145999,0.0,488.66,671.0
104,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"4"" ANG",68694.95612140401,3343.0,2279.804,2348.0
105,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"2-1/2"" ANG",0.4400000000000001,0.0,0.0,0.0
106,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"9"" FLT",280.64700335000003,0.0,17.25,14.0
107,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"12"" CHN",4203.966001506999,0.0,215.056,321.0
108,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,PR 1/4,0.0,0.0,0.0,1.0
109,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,MC10X8.4,449.23200836800004,0.0,28.02,9.0
110,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"4 X 3-1/2"" ANG",1813.0440024120005,0.0,70.068,97.0
111,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"7"" FLT",15417.089075560008,0.0,254.79150000000004,221.0
112,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"4 X 3"" ANG",20510.831178851997,1552.0,715.6370000000002,856.0
113,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"6"" CHN",8706.262029667996,-79.0,483.58000000000004,547.0
114,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,MC12X10.6,279.83999909500005,0.0,8.48,12.0
115,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"3/8"" SQR",4.927999974,0.0,2.519,2.0
